SaleAmount_2024,Total Enrollment
1454051,25018
194367,20448
365972,23898
111039,20448
418254,23898
186239,19724
403126,24360
272946,22071
890897,26026
197716,13732
271411,19711
213099,17606
204416,15903
389837,22813
277783,24355
808920,24297
257217,23907
194485,16464
38369,21536
354132,22813
171036,19867
749000,26470
512385,23907
339831,23898
124849,19711
326394,25018
477936,22071
115188,17606
120520,20794
200246,17168
253566,23898
43723,20810
214886,15529
122704,25018
326630,23898
162060,17662
211278,16531
181760,16379
84830,25642
493192,21691
320613,22813
289171,22071
220396,15529
341590,23907
483117,23883
191363,21133
65820,9011
149745,17606
348303,22813
489909,26149
162847,19711
411588,23898
225033,20794
297393,17444
48987,21691
523835,23464
528645,23907
386519,25018
355424,24639
288526,9011
172496,26026
325694,19711
295084,20262
170479,17606
8720,21536
107124,15903
272780,21446
482405,26149
457855,22071
115188,17606
824040,25944
201572,17168
176302,21133
318249,26026
176079,24297
530899,23883
463077,26026
355841,22071
230158,21446
199759,19711
306872,19724
227985,19711
145325,19867
460716,24360
110441,17662
220868,25018
102041,14382
201282,20262
215875,21691
144276,22813
136682,23464
218060,16985
180309,16179
380887,15903
26160,21536
198920,17168
587202,24355
14883,21133
143921,20810
258551,23464
207076,17034
97514,20262
261443,20025
333293,19711
278861,22813
239369,22071
622260,26026
263821,19867
235391,20794
141796,19724
264937,23907
310080,21133
393789,25944
164722,25944
234686,17034
90809,21133
1423128,24360
98374,19867
279468,16446
315344,21691
81970,21536
447177,25642
718927,26026
366043,24639
48018,17662
2092,24297
165990,19789
373527,22371
286936,23907
506759,21133
217562,16446
495494,22813
230147,17606
249087,21691
805187,26149
133879,16379
339831,23898
230186,22371
302435,22534
274936,20794
181427,20810
254873,23898
281623,17034
146018,25018
178171,20810
148064,17444
253687,22371
205860,20025
503448,23732
488336,21536
1534158,24297
246344,19724
44526,14382
918098,22371
98378,23907
412033,25642
272176,22534
587846,21691
748145,22534
181334,23883
242850,17444
785310,25018
397709,17662
290943,20794
451774,22813
211717,17606
364483,26149
400932,26149
347308,26026
306788,26026
379042,23898
150473,20262
271200,21536
423448,21691
499718,24639
17047,12351
107729,23464
263714,26149
132448,19711
204245,22534
200387,22534
202587,12907
141110,25018
655402,22534
432396,25944
94156,20794
132651,16889
191965,24360
404190,23732
746898,22371
630855,21691
465352,22371
218932,16379
495492,26026
555033,25642
321603,26149
698831,22071
482466,24355
170747,24639
239004,19867
272176,22534
239442,9735
137541,12351
172230,16446
1608419,25018
191965,24360
521381,22371
181793,23464
159990,19789
232943,22071
168389,19789
268002,26149
59670,21446
392203,22371
382576,20810
229225,17606
121186,25642
122749,19724
85261,20448
132305,16420
274845,24639
169577,17444
238787,24391
400646,21446
248613,19711
332739,24360
345381,25642
136484,16446
346764,24360
504396,24355
316456,23464
194194,24391
165451,23883
857340,26149
187961,22071
409105,23898
401175,19789
354617,16985
332914,20810
336145,12907
212626,21133
62915,16985
435000,26470
300946,20262
178389,23464
303872,19711
208846,22071
271132,16889
186460,20810
366300,17606
592581,19724
267879,17168
562183,24639
272363,22371
392263,23732
486231,26026
256799,22371
326836,22371
552330,22813
186460,20810
245912,21536
100070,20448
291738,26026
298738,21691
365745,22371
298555,26149
624123,24297
305436,22371
1104342,25018
363236,21133
519889,25642
209376,15529
147959,22071
1055253,25944
404654,22371
327752,24297
194988,19789
309705,20810
154189,20025
509408,17034
211367,16889
521303,22371
369843,26149
180763,20262
154670,20810
590784,23898
598771,24360
188560,17444
251358,12907
139468,24297
299981,19789
163990,19789
329,16889
586824,25944
421105,21446
539672,19724
321603,26149
149791,19789
110678,23907
877211,24355
599199,22371
183988,19789
477071,23898
267162,22071
632592,25642
622281,21446
320681,9735
247018,22813
211992,24297
231011,21446
251044,24297
218329,23883
239025,23464
235886,22371
205260,16420
338183,23883
275149,24360
236955,24355
154976,12351
327152,20448
331342,21133
207144,20794
531566,21133
197626,20025
253415,17606
193432,24360
184748,22071
598626,23898
315796,24355
236840,16464
828075,24360
54654,23907
512385,23907
612000,26470
349759,22813
212212,23907
134662,23464
257041,22071
189736,16420
45273,16531
227948,21536
1876317,20448
411115,17034
48041,19724
210910,20794
193271,17034
282469,20794
613577,26026
126696,24360
558734,22371
575000,26470
342357,24391
101994,20448
302135,20448
152806,22534
103858,16179
585769,24297
248432,25642
143117,20794
519925,26149
141131,16985
91664,21691
847092,25642
198781,23732
179929,22071
498018,22071
363862,23907
680043,23464
49667,23898
286419,21446
161963,21446
173981,20810
1515629,22813
612834,22813
897058,22813
255042,20262
142957,17168
990260,22813
277926,22071
433757,22071
639883,24360
194705,19724
414128,25018
269074,26149
968618,22813
288399,23898
442691,25944
146334,17034
233199,16179
173374,17444
262572,17034
536005,26149
408419,16464
125831,16985
346979,19789
215553,15529
713366,22813
164528,13732
261722,20448
105613,16446
53156,21133
154429,16985
891856,24391
59562,23883
518449,23464
398561,24355
1423128,24360
107047,20025
575000,26470
344385,21446
365745,22371
120050,19711
441614,25018
664828,22534
599662,24639
404164,8597
265815,19724
156267,16179
422537,15179
305021,20448
142044,20025
211161,24360
123709,24391
160347,16889
566054,22813
1595161,25018
547681,22534
37516,12907
310080,21133
182378,15529
112290,20448
1374226,24639
247207,21446
630000,26470
121046,21446
123163,20448
207542,21536
643344,25944
320313,23883
168709,19711
221124,22813
481097,22534
664954,20810
421704,21691
357807,23732
363559,25642
208259,16531
44473,21536
346511,16379
498485,26149
210624,23883
189501,16889
144654,19867
216250,20810
541393,22071
248614,20810
205241,16531
99685,20448
236985,19789
384526,23898
102899,21536
20190,10852
880108,21691
127974,20448
463196,23907
843275,24639
194023,23907
331430,20794
17287,16464
887892,23732
885,21133
328132,24360
438700,16446
115078,24391
227008,15529
187404,17034
271373,16446
832113,22534
409525,24360
173374,17444
365751,14382
168061,20262
184546,20794
551181,24355
276601,16464
269419,20448
184560,19711
730806,20025
284342,16446
465000,26470
202223,16531
73937,24391
516207,23883
95815,21691
4707,20794
184560,19711
226986,19789
336174,22371
196821,19724
153816,12907
176714,20810
191829,19867
119368,25642
468486,24639
114233,16452
243722,16446
159267,20262
981905,24391
200566,21536
180896,20448
6517,20025
318944,26026
148660,23907
416086,22071
324279,20810
165076,19724
175874,19711
316304,23898
229166,19867
427626,25018
79450,23464
177769,22534
470395,22371
761839,22371
511706,24355
257753,23732
167189,19711
99490,20810
367799,26026
34842,16420
230987,22813
139478,12351
286907,17662
202171,22371
444884,26149
223065,16985
549904,26026
401511,25944
273268,20448
339254,23732
497567,25018
352835,19711
613400,25018
47078,20794
193028,19711
198214,26149
411060,25018
232074,17168
252633,17034
369497,22071
206906,21133
309234,17034
306707,21446
