ParcelNumber,SaleAmount,SaleDate,Bedrooms,YearBuilt,SquareFootageFinishedLiving,Grade,SaleDateYr,Grade out of 10,Year,Total Enrollment,Undergraduate Enrollment,Graduate Enrollment,CPI_Avg,SaleAmount_2024
41D031000,100000,1987/10/15 04:00:00+00,5,1957.0,1643.0,B -,1987,6.0,1987.0,17034,11097.0,5937.0,113.61666666666667,276101
41D031000,392000,2007/08/06 04:00:00+00,5,1957.0,1643.0,B -,2007,6.0,2007.0,22534,15079.0,7455.0,207.34416666666667,593069
41D032000,420000,2019/05/10 04:00:00+00,4,1958.0,1826.0,B -,2019,6.0,2019.0,25018,17011.0,8007.0,255.65258333333335,515359
41D033000,89500,1976/07/30 04:00:00+00,4,1966.0,3167.0,B,1976,6.5,1976.0,15529,10080.0,5449.0,56.93333333333334,493137
41D033000,350000,2004/06/09 04:00:00+00,4,1966.0,3167.0,B,2004,6.5,2004.0,21691,14129.0,7562.0,188.90833333333333,581203
41D034000,495000,2021/04/13 04:00:00+00,3,1958.0,1347.0,B,2021,6.5,2021.0,26026,17299.0,8727.0,270.96791666666667,573058
41D034000,66836,1997/12/31 05:00:00+00,3,1958.0,1347.0,B,1997,6.5,1997.0,20262,13246.0,7016.0,160.525,130610
41D034000,144500,1993/05/12 04:00:00+00,3,1958.0,1347.0,B,1993,6.5,1993.0,19711,12446.0,7265.0,144.475,313752
41D035000,199000,1987/12/14 05:00:00+00,4,1958.0,2296.0,B,1987,6.5,1987.0,17034,11097.0,5937.0,113.61666666666667,549442
41D036000,155000,1985/11/04 05:00:00+00,4,1958.0,2352.0,B,1985,6.5,1985.0,16889,11195.0,5694.0,107.60000000000001,451888
41D036000,149000,1985/02/19 05:00:00+00,4,1958.0,2352.0,B,1985,6.5,1985.0,16889,11195.0,5694.0,107.60000000000001,434395
41D037000,190000,1990/05/03 04:00:00+00,5,1980.0,1901.0,B -,1990,6.0,1990.0,17662,11304.0,6358.0,130.65833333333333,456171
41D037000,13000,1977/02/28 05:00:00+00,5,1980.0,1901.0,B -,1977,6.0,1977.0,15903,10330.0,5573.0,60.61666666666667,67276
41D038000,520000,2014/07/23 04:00:00+00,4,1962.0,2458.0,B,2014,6.5,2014.0,23732,16483.0,7249.0,236.715,689110
41D038000,415000,2003/10/06 04:00:00+00,4,1962.0,2458.0,B,2003,6.5,2003.0,21446,13829.0,7617.0,184.0,707525
41D038000,600500,2018/11/27 05:00:00+00,4,1962.0,2458.0,B,2018,6.5,2018.0,24639,16777.0,7862.0,251.0995,750202
41D039000,278700,2004/09/28 04:00:00+00,4,1961.0,2353.0,B,2004,6.5,2004.0,21691,14129.0,7562.0,188.90833333333333,462804
41D040000,431625,2010/07/13 04:00:00+00,3,1967.0,2083.0,C +,2010,5.0,2010.0,24391,15595.0,8796.0,218.0761666666667,620883
41D040000,155000,1994/07/29 04:00:00+00,3,1967.0,2083.0,C +,1994,5.0,1994.0,19724,12568.0,7156.0,148.225,328036
