ParcelNumber,SaleAmount,SaleDate,Bedrooms,YearBuilt,SquareFootageFinishedLiving,Grade
020055400,609300,2019,4,1975.0,1902.0,B -
020055400,609300,2019,4,1975.0,1902.0,B -
020055500,1025000,2023,4,1975.0,1512.0,B++
020055500,190000,1995,4,1975.0,1512.0,B++
020055500,560000,2011,4,1975.0,1512.0,B++
020055500,631250,2017,4,1975.0,1512.0,B++
020055600,405000,2003,4,1975.0,1512.0,B -
020055600,405000,2003,4,1975.0,1512.0,B -
020055600,265400,2000,4,1975.0,1512.0,B -
020055600,660000,2021,4,1975.0,1512.0,B -
020055600,157000,1992,4,1975.0,1512.0,B -
020055800,942500,2011,4,1967.0,3542.0,A -
020056000,22500,1952,2,1951.0,3336.0,B
020058000,191350,2008,3,1951.0,1282.0,C +
020058000,375000,2015,3,1951.0,1282.0,C +
020059000,23000,1969,3,1952.0,1424.0,B
020060000,575000,2003,3,1955.0,2656.0,B +
020060000,110500,1984,3,1955.0,2656.0,B +
020060000,500,1998,3,1955.0,2656.0,B +
020061000,210000,1992,5,1952.0,3096.0,B++
020061000,850000,2015,5,1952.0,3096.0,B++
020061000,335000,2000,5,1952.0,3096.0,B++
020061000,753000,2012,5,1952.0,3096.0,B++
020062000,2000,1951,3,1952.0,2137.0,B++
020062000,515000,2007,3,1952.0,2137.0,B++
020062000,549000,2014,3,1952.0,2137.0,B++
020063000,110000,2001,4,1953.0,3259.0,B++
020064000,170000,1990,3,1953.0,2241.0,B
020064000,297500,2012,3,1953.0,2241.0,B
020065000,1212325,2022,4,1952.0,2708.0,B++
020065000,2250,1951,4,1952.0,2708.0,B++
020065000,367500,2012,4,1952.0,2708.0,B++
020066000,125000,1986,3,1952.0,1949.0,B++
020066000,495000,2015,3,1952.0,1949.0,B++
020066000,309000,2002,3,1952.0,1949.0,B++
020076000,132000,1993,3,2023.0,3286.0,A -
020077000,25000,1963,4,1951.0,3130.0,B +
030006000,950000,2024,4,1956.0,2250.0,C
030009000,260000,2016,2,1950.0,825.0,C
030009000,55000,1986,2,1950.0,825.0,C
030012000,92000,1986,4,1955.0,1579.0,C
030016000,425000,2005,4,1951.0,3233.0,B++
030016000,92000,1987,4,1951.0,3233.0,B++
030016000,739000,2015,4,1951.0,3233.0,B++
030019000,259900,2003,2,1950.0,1316.0,B
030019000,154500,1999,2,1950.0,1316.0,B
030019000,141750,1997,2,1950.0,1316.0,B
030022000,402000,2012,3,1951.0,1142.0,B
030022000,402000,2012,3,1955.0,1344.0,C
030023000,258000,2003,1,2006.0,648.0,C +
030023000,175000,2001,1,2006.0,648.0,C +
030023000,520000,2017,1,2006.0,648.0,C +
030023000,610000,2020,1,2006.0,648.0,C +
030024000,212000,1994,3,1952.0,2604.0,B
030024100,500000,2005,4,1994.0,3449.0,A
030025000,307500,2010,2,1952.0,1350.0,C++
030028000,89000,1983,3,1951.0,2564.0,B
030029000,56500,1979,5,1951.0,1805.0,B++
030029000,56500,1979,5,1951.0,1805.0,B++
030029000,965000,2021,5,1951.0,1805.0,B++
030029000,435000,2020,5,1951.0,1805.0,B++
030030000,715000,2024,3,1951.0,1792.0,B
030031000,200525,1993,3,1951.0,2367.0,A
030032000,98900,1987,3,1953.0,1500.0,B -
030033000,95000,1988,3,1954.0,2280.0,B +
030033000,398000,2019,3,1954.0,2280.0,B +
030034000,148000,1996,3,1954.0,2144.0,B
030034000,162000,1998,3,1954.0,2144.0,B
030034000,181500,2000,3,1954.0,2144.0,B
030035000,327000,2015,3,1952.0,1521.0,B
030035000,1600,1952,3,1952.0,1521.0,B
030036000,48500,1977,3,1952.0,1425.0,B
030037000,22500,1969,4,1953.0,1200.0,B
030037000,270000,2007,4,1953.0,1200.0,B
030038000,132000,2000,2,1954.0,1295.0,B
030038000,81000,1986,2,1954.0,1295.0,B
030040000,1500,1952,4,1954.0,1478.0,C
030040000,415000,2018,4,1954.0,1478.0,C
030041000,341000,2005,4,1955.0,2624.0,B++
030041000,3000,1954,4,1955.0,2624.0,B++
030042000,266000,2003,3,1954.0,1534.0,B +
030042000,420000,2007,3,1954.0,1534.0,B +
030042000,23000,1965,3,1954.0,1534.0,B +
030042000,459000,2016,3,1954.0,1534.0,B +
030043000,120000,1990,4,1952.0,2208.0,B
030043000,653000,2019,4,1952.0,2208.0,B
030043000,245000,2001,4,1952.0,2208.0,B
030044000,20000,1957,2,1953.0,1586.0,B
030045000,799000,2006,3,1952.0,2746.0,A
030045000,769000,2017,3,1952.0,2746.0,A
030045000,135000,1982,3,1952.0,2746.0,A
030055000,50000,1986,4,1958.0,1236.0,D
030058000,113500,1999,3,1970.0,1035.0,C
030058000,82500,1998,3,1970.0,1035.0,C
030060100,246000,2001,3,2000.0,2036.0,B
030060100,375000,2005,3,2000.0,2036.0,B
030060101,410000,2005,3,1997.0,1930.0,B -
030060101,30000,1997,3,1997.0,1930.0,B -
030060101,340000,2011,3,1997.0,1930.0,B -
030060110,198233,1998,3,1998.0,2610.0,B
030060120,620000,2010,5,2000.0,3404.0,B +
030060120,50000,2001,5,2000.0,3404.0,B +
030060130,690000,2022,4,1999.0,2587.0,B
030060130,211963,2000,4,1999.0,2587.0,B
030060130,543510,2018,4,1999.0,2587.0,B
030060140,10000,2002,4,1999.0,2988.0,B
030060140,585000,2007,4,1999.0,2988.0,B
030060140,65000,1999,4,1999.0,2988.0,B
030060150,238306,2001,4,2000.0,2280.0,B +
030060160,276935,2000,4,2000.0,2724.0,B
030060160,498000,2011,4,2000.0,2724.0,B
030060170,449000,2013,4,2000.0,1808.0,B
030060170,447500,2008,4,2000.0,1808.0,B
030060170,244900,2000,4,2000.0,1808.0,B
030060180,289332,2000,4,2000.0,2684.0,B +
030060180,880000,2022,4,2000.0,2684.0,B +
030060190,268213,2001,3,2001.0,1808.0,B
030060200,401000,2013,4,2000.0,2230.0,B
030060200,240000,2000,4,2000.0,2230.0,B
030060200,370000,2004,4,2000.0,2230.0,B
030060201,550000,2021,3,2001.0,2560.0,B
030060201,256519,2001,3,2001.0,2560.0,B
030060210,248075,2001,3,2001.0,2258.0,B
030060300,199950,1999,4,1999.0,2421.0,B -
030060300,503000,2019,4,1999.0,2421.0,B -
030060300,503000,2019,4,1999.0,2421.0,B -
030060300,40701,1999,4,1999.0,2421.0,B -
030060300,302000,2003,4,1999.0,2421.0,B -
030060400,208825,2000,4,2000.0,2520.0,B
030060400,415500,2009,4,2000.0,2520.0,B
030060500,219700,2000,3,2000.0,2529.0,B
030060600,620000,2005,4,2004.0,3734.0,B -
030060600,684500,2015,4,2004.0,3734.0,B -
030060600,190000,2004,4,2004.0,3734.0,B -
030060700,807794,2006,6,2006.0,4644.0,B
030060700,190000,2004,6,2006.0,4644.0,B
030060700,625000,2018,6,2006.0,4644.0,B
030060800,283500,2001,4,1998.0,2315.0,B +
030060800,209000,1999,4,1998.0,2315.0,B +
030060800,633000,2022,4,1998.0,2315.0,B +
030060800,365000,2004,4,1998.0,2315.0,B +
030060900,412000,2005,4,1998.0,2150.0,B
030060900,202500,1999,4,1998.0,2150.0,B
030060900,295000,2002,4,1998.0,2150.0,B
030060900,330000,2012,4,1998.0,2150.0,B
030060900,549000,2021,4,1998.0,2150.0,B
030065000,10000,2005,3,1957.0,1445.0,C
030065000,310000,2004,3,1957.0,1445.0,C
030066000,116000,1995,3,1970.0,1725.0,C
030067000,140000,2002,2,1958.0,948.0,C
030067000,38000,2004,2,1958.0,948.0,C
030067100,349000,2008,6,1963.0,1820.0,B +
030067100,193000,2002,6,1963.0,1820.0,B +
030067100,215000,2003,6,1963.0,1820.0,B +
030067200,116000,1995,3,2001.0,2368.0,B
030073A00,525000,2005,10,2001.0,3638.0,B
030076000,30000,2000,6,2004.0,2508.0,C
030076000,375000,2006,6,2004.0,2508.0,C
030077000,375000,2006,3,2004.0,2508.0,C +
030077000,65000,2004,3,2004.0,2508.0,C +
030077000,36000,2001,3,2004.0,2508.0,C +
030077000,91500,2004,3,2004.0,2508.0,C +
030078000,40000,2012,8,2013.0,4320.0,C
030079000,8000,1990,3,2015.0,2450.0,B
030079000,125000,2014,3,2015.0,2450.0,B
030079000,448000,2015,3,2015.0,2450.0,B
030079000,4500,1998,3,2015.0,2450.0,B
